año;mes;calificado;no calificado;"no 
especificado"
2015;ENE.;668,671;2,457,994;3,690
2015;FEB.;669,908;2,444,861;3,742
2015;MAR.;707,895;2,458,398;3,762
2015;ABR.;738,337;2,418,037;55,409
2015;MAY.;741,721;2,418,401;59,104
2015;JUN.;743,395;2,424,528;33,289
2015;JUL.;745,220;2,500,467;27,643
2015;AGO.;729,468;2,548,880;26,544
2015;SET.;745,284;2,584,602;25,791
2015;OCT.;744,983;2,600,856;25,525
2015;NOV.;742,971;2,605,251;25,099
2015;DIC.;735,729;2,596,331;24,623
2016;ENE.;665,140;2,523,549;22,904
2016;FEB.;665,468;2,497,249;22,107
2016;MAR.;706,449;2,506,277;21,983
2016;ABR.;723,145;2,504,027;21,577
2016;MAY.;725,310;2,517,951;21,603
2016;JUN.;726,234;2,540,739;21,225
2016;JUL.;719,924;2,569,851;21,315
2016;AGO.;705,579;2,616,896;21,164
2016;SET.;720,972;2,648,675;20,834
2016;OCT.;723,461;2,671,090;20,728
2016;NOV.;723,944;2,699,448;20,980
2016;DIC.;715,221;2,679,034;20,934
2017;ENE.;648,066;2,596,434;19,671
2017;FEB.;648,469;2,550,577;19,232
2017;MAR.;662,048;2,452,290;18,830
2017;ABR.;698,223;2,548,046;19,246
2017;MAY.;703,251;2,561,259;18,666
2017;JUN.;708,992;2,573,700;17,691
2017;JUL.;705,084;2,592,860;17,299
2017;AGO.;702,726;2,632,827;16,862
2017;SET.;717,106;2,689,871;16,806
2017;OCT.;724,982;2,712,153;16,943
2017;NOV.;722,764;2,693,515;103,155
2017;DIC.;718,358;2,703,323;84,636
2018;ENE.;661,901;2,669,675;69,264
2018;FEB.;666,179;2,612,564;58,905
2018;MAR.;711,730;2,647,127;53,685
2018;ABR.;736,927;2,651,915;49,617
2018;MAY.;743,985;2,670,104;46,323
2018;JUN.;742,929;2,632,224;43,930
2018;JUL.;747,576;2,722,319;41,012
2018;AGO.;742,895;2,773,121;39,384
2018;SET.;760,109;2,791,901;37,428
2018;OCT.;762,010;2,790,400;36,590
2018;NOV.;775,618;2,871,640;36,087
2018;DIC.;757,236;2,806,137;33,750
2019;ENE.;705,827;2,820,032;32,631
2019;FEB.;710,490;2,731,467;31,065
2019;MAR.;742,655;2,687,844;29,672
2019;ABR.;783,183;2,699,058;29,267
2019;MAY.;792,512;2,739,098;33,801
2019;JUN.;793,135;2,742,541;63,176
2019;JUL.;795,065;2,821,717;28,633
2019;AGO.;786,913;2,822,920;77,985
2019;SET.;781,859;2,721,281;250,360
2019;OCT.;811,164;2,910,304;72,846
2019;NOV.;794,432;2,785,818;254,478
2019;DIC.;809,713;2,975,711;30,268
2020;ENE.;745,838;2,936,691;30,908
2020;FEB.;729,856;2,708,118;180,979
2020;MAR.;775,193;2,746,567;24,320
2020;ABR.;731,168;2,314,158;22,311
2020;MAY.;698,770;2,091,347;20,765
2020;JUN.;702,401;2,188,067;20,737
2020;JUL.;718,024;2,380,661;21,054
2020;AGO.;717,228;2,497,402;21,332
2020;SET.;725,815;2,585,459;22,810
2020;OCT.;738,425;2,706,585;21,408
2020;NOV.;746,739;2,762,176;21,249
2020;DIC.;750,023;2,747,813;20,804
2021;ENE.;706,240;2,663,031;20,561
2021;FEB.;708,514;2,551,363;20,398
2021;MAR.;749,793;2,578,734;20,938
2021;ABR.;773,082;2,599,835;20,291
2021;MAY.;781,009;2,633,495;19,948
2021;JUN.;787,162;2,673,342;19,913
2021;JUL.;791,553;2,739,293;19,686
2021;AGO.;798,127;2,865,400;13,189
2021;SET.;793,057;2,868,575;12,986
2021;OCT.;823,915;3,034,666;10,137
2021;NOV.;826,051;3,087,836;9,534
2021;DIC.;826,078;3,018,773;10,386
2022;ENE.;779,137;2,980,995;10,545
2022;FEB.;790,053;2,887,501;10,333
2022;MAR.;833,875;2,864,690;10,459
2022;ABR.;864,899;2,846,231;10,672
2022;MAY.;874,206;2,873,219;10,756
2022;JUN.;850,431;2,828,593;10,747
2022;JUL.;882,956;2,961,862;10,741
2022;AGO.;884,576;3,071,808;10,983
2022;SET.;900,944;3,151,374;11,024
2022;OCT.;909,423;3,161,768;23,152
2022;NOV.;926,293;3,293,228;24,135
2022;DIC.;909,424;3,173,244;12,393
2023;ENE.;843,761;3,091,479;12,397
