año;mes;"Jóven 
(hasta 29 años)";"Adulto 
(30 a más años)";"No 
especificado"
2015;ENE.;986,681;2,011,739;131,935
2015;FEB.;967,543;2,004,222;146,746
2015;MAR.;960,674;2,040,313;169,068
2015;ABR.;952,392;2,075,866;183,525
2015;MAY.;944,818;2,088,521;185,887
2015;JUN.;934,079;2,081,041;186,092
2015;JUL.;967,967;2,121,039;184,324
2015;AGO.;989,583;2,131,996;183,313
2015;SET.;1,023,428;2,182,298;149,951
2015;OCT.;1,025,903;2,193,393;152,068
2015;NOV.;1,025,751;2,199,522;148,048
2015;DIC.;1,023,433;2,180,356;152,894
2016;ENE.;967,144;2,056,711;187,738
2016;FEB.;975,391;2,053,610;155,823
2016;MAR.;971,985;2,100,274;162,450
2016;ABR.;966,715;2,122,679;159,355
2016;MAY.;966,294;2,138,568;160,002
2016;JUN.;971,804;2,154,073;162,321
2016;JUL.;982,785;2,165,479;162,826
2016;AGO.;1,004,769;2,175,353;163,517
2016;SET.;1,015,392;2,211,594;163,495
2016;OCT.;1,024,094;2,228,585;162,600
2016;NOV.;1,034,000;2,245,939;164,433
2016;DIC.;1,026,868;2,225,740;162,581
2017;ENE.;996,766;2,113,699;153,706
2017;FEB.;976,409;2,091,757;150,112
2017;MAR.;940,780;2,046,059;146,329
2017;ABR.;957,311;2,155,129;153,075
2017;MAY.;955,779;2,174,118;153,279
2017;JUN.;958,181;2,188,229;153,973
2017;JUL.;965,961;2,193,719;155,563
2017;AGO.;982,777;2,212,024;157,614
2017;SET.;1,003,307;2,256,462;164,014
2017;OCT.;1,004,998;2,281,111;167,969
2017;NOV.;1,031,213;2,312,958;175,263
2017;DIC.;1,025,603;2,301,390;179,324
2018;ENE.;1,011,389;2,214,166;175,285
2018;FEB.;981,321;2,185,291;171,036
2018;MAR.;991,979;2,245,034;175,529
2018;ABR.;983,910;2,277,238;177,311
2018;MAY.;984,931;2,297,309;178,172
2018;JUN.;963,549;2,279,441;176,093
2018;JUL.;1,000,341;2,323,660;186,906
2018;AGO.;1,022,387;2,340,671;192,342
2018;SET.;1,025,281;2,367,223;196,934
2018;OCT.;1,014,511;2,373,119;201,370
2018;NOV.;1,046,069;2,424,777;212,499
2018;DIC.;1,024,300;2,360,144;212,679
2019;ENE.;1,037,030;2,310,832;210,628
2019;FEB.;996,064;2,270,946;206,012
2019;MAR.;969,200;2,282,401;208,570
2019;ABR.;964,929;2,332,703;213,876
2019;MAY.;975,155;2,370,989;219,267
2019;JUN.;984,742;2,392,307;221,803
2019;JUL.;1,008,721;2,409,036;227,658
2019;AGO.;1,029,052;2,426,448;232,318
2019;SET.;1,048,624;2,467,145;237,731
2019;OCT.;1,060,462;2,489,592;244,260
2019;NOV.;1,078,215;2,509,865;246,648
2019;DIC.;1,077,849;2,490,528;247,315
2020;ENE.;1,070,127;2,399,873;243,437
2020;FEB.;1,027,115;2,355,180;236,658
2020;MAR.;982,803;2,332,512;230,765
2020;ABR.;805,655;2,068,536;193,446
2020;MAY.;711,818;1,924,834;174,230
2020;JUN.;745,596;1,981,981;183,628
2020;JUL.;824,347;2,095,954;199,438
2020;AGO.;879,591;2,148,324;208,047
2020;SET.;919,786;2,200,210;214,088
2020;OCT.;973,154;2,270,604;222,660
2020;NOV.;996,790;2,306,195;227,179
2020;DIC.;986,842;2,305,774;226,024
2021;ENE.;950,900;2,220,975;217,957
2021;FEB.;892,721;2,178,040;209,514
2021;MAR.;897,242;2,237,357;214,866
2021;ABR.;904,752;2,271,970;216,486
2021;MAY.;919,167;2,296,429;218,856
2021;JUN.;938,908;2,319,165;222,344
2021;JUL.;975,786;2,347,516;227,230
2021;AGO.;1,042,482;2,399,772;234,462
2021;SET.;1,061,204;2,377,966;235,448
2021;OCT.;1,116,169;2,501,699;250,850
2021;NOV.;1,150,409;2,519,265;253,747
2021;DIC.;1,113,758;2,494,906;246,573
2022;ENE.;1,105,565;2,425,437;239,675
2022;FEB.;1,053,535;2,399,944;234,408
