Año;mes;Hombre;Mujer;"No 
especificado"
2015;ENE.;2,003,550;994,870;131,935
2015;FEB.;1,987,296;984,469;146,746
2015;MAR.;1,995,567;1,005,420;169,068
2015;ABR.;2,016,825;1,011,433;183,525
2015;MAY.;2,023,166;1,010,173;185,887
2015;JUN.;2,005,169;1,009,951;186,092
2015;JUL.;2,051,641;1,037,365;184,324
2015;AGO.;2,064,248;1,057,331;183,313
2015;SET.;2,113,383;1,092,343;149,951
2015;OCT.;2,119,556;1,099,740;152,068
2015;NOV.;2,119,664;1,105,609;148,048
2015;DIC.;2,097,047;1,106,742;152,894
2016;ENE.;1,997,523;1,026,332;187,738
2016;FEB.;1,999,862;1,029,139;155,823
2016;MAR.;2,012,553;1,059,706;162,450
2016;ABR.;2,021,911;1,067,483;159,355
2016;MAY.;2,033,399;1,071,463;160,002
2016;JUN.;2,044,713;1,081,164;162,321
2016;JUL.;2,053,668;1,094,596;162,826
2016;AGO.;2,068,683;1,111,439;163,517
2016;SET.;2,094,747;1,132,239;163,495
2016;OCT.;2,111,514;1,141,165;162,600
2016;NOV.;2,129,072;1,150,867;164,433
2016;DIC.;2,107,264;1,145,344;162,581
2017;ENE.;2,032,328;1,078,137;153,706
2017;FEB.;2,002,567;1,065,599;150,112
2017;MAR.;1,932,577;1,054,262;146,329
2017;ABR.;2,022,387;1,090,053;153,075
2017;MAY.;2,040,125;1,089,772;153,279
2017;JUN.;2,050,100;1,096,310;153,973
2017;JUL.;2,054,495;1,105,185;155,563
2017;AGO.;2,073,762;1,121,039;157,614
2017;SET.;2,108,255;1,151,514;164,014
2017;OCT.;2,125,723;1,160,386;167,969
2017;NOV.;2,162,574;1,181,597;175,263
2017;DIC.;2,147,184;1,179,809;179,324
2018;ENE.;2,102,780;1,122,775;175,285
2018;FEB.;2,066,830;1,099,782;171,036
2018;MAR.;2,095,071;1,141,942;175,529
2018;ABR.;2,115,353;1,145,795;177,311
2018;MAY.;2,130,759;1,151,481;178,172
2018;JUN.;2,100,750;1,142,240;176,093
2018;JUL.;2,149,797;1,174,204;186,906
2018;AGO.;2,167,726;1,195,332;192,342
2018;SET.;2,182,004;1,210,500;196,934
2018;OCT.;2,179,755;1,207,875;201,370
2018;NOV.;2,234,217;1,236,629;212,499
2018;DIC.;2,177,540;1,206,904;212,679
2019;ENE.;2,166,454;1,181,408;210,628
2019;FEB.;2,118,616;1,148,394;206,012
2019;MAR.;2,096,616;1,154,985;208,570
2019;ABR.;2,128,381;1,169,251;213,876
2019;MAY.;2,165,997;1,180,147;219,267
2019;JUN.;2,183,526;1,193,523;221,803
2019;JUL.;2,202,539;1,215,218;227,658
2019;AGO.;2,219,810;1,235,690;232,318
2019;SET.;2,254,785;1,260,984;237,731
2019;OCT.;2,273,681;1,276,373;244,260
2019;NOV.;2,294,086;1,293,994;246,648
2019;DIC.;2,274,902;1,293,475;247,315
2020;ENE.;2,230,694;1,239,306;243,437
2020;FEB.;2,183,100;1,199,195;236,658
2020;MAR.;2,127,440;1,187,875;230,765
2020;ABR.;1,830,211;1,043,980;193,446
2020;MAY.;1,683,575;953,077;174,230
2020;JUN.;1,753,168;974,409;183,628
2020;JUL.;1,879,836;1,040,465;199,438
2020;AGO.;1,944,331;1,083,584;208,047
2020;SET.;2,004,193;1,115,803;214,088
2020;OCT.;2,084,732;1,159,026;222,660
2020;NOV.;2,126,789;1,176,196;227,179
2020;DIC.;2,118,376;1,174,240;226,024
2021;ENE.;2,057,793;1,114,082;217,957
2021;FEB.;2,002,669;1,068,092;209,514
2021;MAR.;2,040,761;1,093,838;214,866
2021;ABR.;2,071,335;1,105,387;216,486
2021;MAY.;2,098,625;1,116,971;218,856
2021;JUN.;2,123,958;1,134,115;222,344
2021;JUL.;2,152,614;1,170,688;227,230
2021;AGO.;2,209,354;1,232,900;234,462
2021;SET.;2,188,981;1,250,189;235,448
2021;OCT.;2,302,927;1,314,941;250,850
2021;NOV.;2,333,066;1,336,608;253,747
2021;DIC.;2,288,759;1,319,905;246,573
2022;ENE.;2,243,880;1,287,122;239,675
2022;FEB.;2,205,850;1,247,629;234,408
2022;MAR.;2,209,827;1,264,087;235,110
2022;ABR.;2,217,926;1,269,205;234,671
2022;MAY.;2,246,894;1,274,411;236,876
2022;JUN.;2,196,511;1,258,585;234,675
2022;JUL.;2,292,253;1,318,561;244,745
2022;AGO.;2,343,223;1,372,661;251,483
2022;SET.;2,394,892;1,412,336;256,114
2022;OCT.;2,409,857;1,427,169;257,317
2022;NOV.;2,494,852;1,481,175;267,629
2022;DIC.;2,402,464;1,435,347;257,250
2023;ENE.;2,327,766;1,372,396;247,475
2023;FEB.;2,277,710;1,335,750;241,475
2023;MAR.;2,286,442;1,356,654;244,934
2023;ABR.;2,283,215;1,344,559;242,444
2023;MAY.;2,306,803;1,348,646;243,511
2023;JUN.;2,340,804;1,368,587;246,913
2023;JUL.;2,351,872;1,389,353;250,002
2023;AGO.;2,385,502;1,416,243;255,454
2023;SET.;2,408,892;1,438,170;257,388
2023;OCT.;2,436,919;1,451,287;260,064
2023;NOV.;2,493,181;1,485,623;265,945
2023;DIC.;2,415,988;1,452,131;256,495
2024;ENE.;2,351,133;1,371,179;248,353
2024;FEB.;2,299,775;1,329,456;243,209
2024;MAR.;2,310,980;1,360,182;247,269
2024;ABR.;2,331,237;1,361,892;256,903
2024;MAY.;2,358,790;1,370,029;257,985
2024;JUN.;2,381,141;1,389,025;258,505
2024;JUL.;2,421,329;1,429,318;264,575
2024;AGO.;2,444,457;1,450,210;265,226
2024;SET.;2,518,559;1,513,154;271,275
2024;OCT.;2,576,458;1,558,207;282,404
2024;NOV.;2,590,842;1,570,777;283,142
2024;DIC.;2,557,404;1,557,292;277,119
2025;ENE.;2,543,054;1,506,028;275,995
2025;FEB.;2,441,262;1,433,882;261,684
2025;MAR.;2,454,934;1,465,559;264,156
2025;ABR.;2,466,409;1,453,674;264,410
2025;MAY.;2,492,924;1,462,185;268,701
2025;JUN.;2,522,777;1,488,575;271,306
2025;JUL.;2,563,912;1,533,843;275,708
2025;AGO.;2,603,016;1,572,257;279,133
