Año;mes;Agropecuario y pesca;Manufactura;Comercio;Construcción;Minería y canteras;Servicios;"No 
especificado"
2015;ENE.;220,237;499,074;533,136;216,158;111,319;1,547,500;2,931
2015;FEB.;201,458;492,879;533,642;216,063;111,152;1,560,301;3,016
2015;MAR.;187,442;491,490;536,425;215,902;111,326;1,624,342;3,128
2015;ABR.;191,167;493,067;536,826;215,775;110,893;1,660,939;3,116
2015;MAY.;195,467;476,044;538,287;219,934;110,004;1,676,276;3,214
2015;JUN.;200,788;471,531;534,489;212,351;109,011;1,669,796;3,246
2015;JUL.;215,866;479,916;540,284;222,066;110,900;1,700,708;3,590
2015;AGO.;236,645;495,468;543,278;221,438;109,841;1,694,402;3,820
2015;SET.;240,396;507,216;546,218;222,226;109,853;1,725,516;4,252
2015;OCT.;242,939;512,743;548,689;219,567;108,926;1,733,720;4,780
2015;NOV.;255,364;505,972;552,186;211,475;107,862;1,735,259;5,203
2015;DIC.;257,090;501,485;559,091;199,244;105,954;1,728,390;5,429
2016;ENE.;242,931;499,183;551,759;189,987;101,893;1,620,106;5,734
2016;FEB.;213,636;492,062;551,745;189,419;101,316;1,630,397;6,249
2016;MAR.;193,598;488,753;552,754;186,518;100,750;1,705,686;6,650
2016;ABR.;187,151;489,318;554,836;184,505;99,233;1,726,774;6,932
2016;MAY.;195,366;480,020;558,445;184,772;98,671;1,740,316;7,274
2016;JUN.;214,988;479,976;557,631;184,630;100,003;1,743,028;7,942
2016;JUL.;233,570;487,016;558,907;179,804;99,728;1,743,783;8,282
2016;AGO.;250,339;499,883;563,582;182,883;100,631;1,737,351;8,970
2016;SET.;258,209;511,237;564,812;185,113;101,204;1,760,315;9,591
2016;OCT.;260,622;519,055;567,689;187,990;101,705;1,768,273;9,945
2016;NOV.;274,691;521,093;572,187;187,784;101,464;1,776,709;10,444
2016;DIC.;269,675;510,096;578,334;183,873;101,068;1,761,229;10,914
2017;ENE.;263,318;502,890;565,910;174,861;100,010;1,645,097;12,085
2017;FEB.;233,309;490,820;561,927;170,727;101,512;1,645,664;14,319
2017;MAR.;218,381;457,693;552,779;158,319;96,208;1,633,378;16,410
2017;ABR.;211,356;474,748;559,431;165,928;103,665;1,734,290;16,097
2017;MAY.;208,735;467,051;561,240;174,069;105,431;1,748,569;18,081
2017;JUN.;216,836;463,380;563,030;177,830;105,881;1,754,541;18,885
2017;JUL.;225,873;465,399;564,045;179,445;106,258;1,754,579;19,644
2017;AGO.;244,299;465,662;568,936;183,456;106,950;1,762,266;20,846
2017;SET.;253,201;506,728;571,679;186,623;107,528;1,776,558;21,466
2017;OCT.;259,749;517,825;576,091;186,337;108,133;1,784,346;21,597
2017;NOV.;281,361;524,519;584,751;194,711;109,095;1,800,047;24,950
2017;DIC.;286,437;507,006;588,868;189,758;107,999;1,803,876;22,373
2018;ENE.;297,005;513,138;582,097;180,036;105,599;1,700,388;22,577
2018;FEB.;246,393;505,482;578,759;178,854;105,040;1,701,008;22,112
2018;MAR.;224,615;512,572;581,195;178,839;105,280;1,787,073;22,968
2018;ABR.;223,430;507,000;581,285;179,970;105,421;1,817,401;23,952
2018;MAY.;234,881;498,598;580,824;185,444;105,783;1,830,589;24,293
2018;JUN.;238,053;487,143;573,959;178,114;104,458;1,813,466;23,890
2018;JUL.;269,043;499,897;581,965;187,267;107,103;1,840,281;25,351
2018;AGO.;304,666;511,119;582,116;187,548;106,291;1,838,964;24,696
2018;SET.;320,609;517,807;583,053;189,049;104,663;1,849,926;24,331
2018;OCT.;316,646;522,007;582,435;190,384;104,433;1,849,987;23,108
