año;mes;Indeterminado;A plazo fijo;"No 
especificado"
2015;ENE.;1,149,880;1,968,338;12,137
2015;FEB.;1,153,772;1,952,830;11,909
2015;MAR.;1,165,441;1,994,194;10,420
2015;ABR.;1,171,257;1,989,684;50,842
2015;MAY.;1,169,559;1,995,609;54,058
2015;JUN.;1,163,784;2,008,983;28,445
2015;JUL.;1,192,749;2,057,630;22,951
2015;AGO.;1,193,422;2,088,862;22,608
2015;SET.;1,198,912;2,133,586;23,179
2015;OCT.;1,206,557;2,141,704;23,103
2015;NOV.;1,212,800;2,137,977;22,544
2015;DIC.;1,208,031;2,126,275;22,377
2016;ENE.;1,193,242;1,997,031;21,320
2016;FEB.;1,191,669;1,972,662;20,493
2016;MAR.;1,199,619;2,015,653;19,437
2016;ABR.;1,200,182;2,029,901;18,666
2016;MAY.;1,204,210;2,041,975;18,679
2016;JUN.;1,209,187;2,060,832;18,179
2016;JUL.;1,206,898;2,085,955;18,237
2016;AGO.;1,208,187;2,116,729;18,723
2016;SET.;1,215,280;2,156,672;18,529
2016;OCT.;1,217,975;2,178,807;18,497
2016;NOV.;1,221,062;2,204,202;19,108
2016;DIC.;1,221,087;2,175,078;19,024
2017;ENE.;1,195,482;2,050,557;18,132
2017;FEB.;1,186,565;2,014,903;16,810
2017;MAR.;1,155,069;1,961,603;16,496
2017;ABR.;1,194,932;2,054,108;16,475
2017;MAY.;1,196,485;2,070,771;15,920
2017;JUN.;1,192,544;2,092,586;15,253
2017;JUL.;1,187,516;2,112,908;14,819
2017;AGO.;1,192,925;2,144,917;14,573
2017;SET.;1,194,284;2,214,343;15,156
2017;OCT.;1,199,769;2,238,693;15,616
2017;NOV.;1,193,620;2,223,642;102,172
2017;DIC.;1,195,177;2,227,347;83,793
2018;ENE.;1,179,891;2,152,444;68,505
2018;FEB.;1,171,418;2,108,280;57,950
2018;MAR.;1,179,383;2,180,767;52,392
2018;ABR.;1,183,559;2,206,743;48,157
2018;MAY.;1,179,878;2,236,029;44,505
2018;JUN.;1,168,927;2,207,826;42,330
2018;JUL.;1,180,476;2,291,066;39,365
2018;AGO.;1,175,213;2,342,197;37,990
2018;SET.;1,178,699;2,374,529;36,210
2018;OCT.;1,181,540;2,372,073;35,387
2018;NOV.;1,193,441;2,454,879;35,025
2018;DIC.;1,163,379;2,400,821;32,923
2019;ENE.;1,171,781;2,354,855;31,854
2019;FEB.;1,163,970;2,278,962;30,090
2019;MAR.;1,145,758;2,285,935;28,478
2019;ABR.;1,170,565;2,313,289;27,654
2019;MAY.;1,172,887;2,360,525;31,999
2019;JUN.;1,170,647;2,366,648;61,557
2019;JUL.;1,179,183;2,439,301;26,931
2019;AGO.;1,169,936;2,441,441;76,441
2019;SET.;1,149,994;2,353,662;249,844
2019;OCT.;1,175,252;2,546,986;72,076
2019;NOV.;1,154,958;2,425,809;253,961
2019;DIC.;1,192,443;2,593,610;29,639
2020;ENE.;1,179,824;2,503,253;30,360
2020;FEB.;1,152,009;2,286,304;180,640
2020;MAR.;1,161,981;2,360,597;23,502
2020;ABR.;1,088,971;1,957,725;20,941
2020;MAY.;1,035,332;1,756,094;19,456
2020;JUN.;1,038,535;1,853,229;19,441
2020;JUL.;1,072,431;2,027,564;19,744
2020;AGO.;1,077,229;2,138,419;20,314
2020;SET.;1,075,782;2,236,116;22,186
2020;OCT.;1,092,324;2,353,388;20,706
2020;NOV.;1,098,383;2,410,970;20,811
2020;DIC.;1,106,828;2,391,407;20,405
2021;ENE.;1,085,662;2,283,769;20,401
2021;FEB.;1,083,496;2,177,269;19,510
2021;MAR.;1,101,869;2,227,819;19,777
2021;ABR.;1,112,179;2,262,099;18,930
2021;MAY.;1,117,641;2,298,308;18,503
2021;JUN.;1,122,796;2,339,107;18,514
2021;JUL.;1,127,964;2,404,314;18,254
2021;AGO.;1,140,101;2,521,799;14,816
2021;SET.;1,115,126;2,544,459;15,033
2021;OCT.;1,161,371;2,694,937;12,410
2021;NOV.;1,146,958;2,764,533;11,930
2021;DIC.;1,159,631;2,682,666;12,940
2022;ENE.;1,148,384;2,609,138;13,155
2022;FEB.;1,156,095;2,519,307;12,485
2022;MAR.;1,155,980;2,540,609;12,435
2022;ABR.;1,169,457;2,540,076;12,269
2022;MAY.;1,176,748;2,569,268;12,165
2022;JUN.;1,150,834;2,526,827;12,110
2022;JUL.;1,189,410;2,654,129;12,020
2022;AGO.;1,189,593;2,765,237;12,537
2022;SET.;1,194,952;2,855,492;12,898
2022;OCT.;1,204,090;2,865,032;25,221
2022;NOV.;1,219,502;2,997,738;26,416
2022;DIC.;1,203,444;2,876,946;14,671
2023;ENE.;1,185,373;2,747,630;14,634
2023;FEB.;1,184,085;2,656,974;13,876
2023;MAR.;1,194,761;2,679,967;13,302
2023;ABR.;1,206,902;2,650,621;12,695
2023;MAY.;1,212,641;2,673,546;12,773
2023;JUN.;1,220,636;2,722,803;12,865
2023;JUL.;1,216,298;2,761,955;12,974
2023;AGO.;1,224,900;2,819,402;12,897
2023;SET.;1,221,503;2,869,586;13,361
