año;mes;Privado general;Agrario;Microempresa;Pequeña empresa;"No 
especificado"
2015;ENE.;2,615,766;264,152;167,166;65,932;17,339
2015;FEB.;2,626,940;237,742;170,271;67,159;16,399
2015;MAR.;2,687,505;218,800;177,056;70,741;15,953
2015;ABR.;2,693,833;214,334;178,318;69,948;55,350
2015;MAY.;2,708,413;200,420;181,040;70,705;58,648
2015;JUN.;2,704,114;211,614;181,691;71,138;32,655
2015;JUL.;2,750,401;232,613;190,117;74,105;26,094
2015;AGO.;2,742,262;268,845;193,372;74,529;25,884
2015;SET.;2,773,804;284,030;197,761;75,310;24,772
2015;OCT.;2,776,255;291,283;202,920;76,434;24,472
2015;NOV.;2,773,665;292,151;206,364;77,394;23,747
2015;DIC.;2,758,660;291,052;206,145;77,368;23,458
2016;ENE.;2,633,917;281,945;198,984;74,406;22,341
2016;FEB.;2,637,329;250,027;200,856;75,309;21,303
2016;MAR.;2,698,047;228,819;208,589;78,445;20,809
2016;ABR.;2,715,837;221,519;211,677;79,165;20,551
2016;MAY.;2,729,929;218,222;216,099;79,819;20,795
2016;JUN.;2,731,209;236,351;219,745;81,300;19,593
2016;JUL.;2,725,146;262,705;221,899;81,546;19,794
2016;AGO.;2,721,809;293,439;225,885;82,771;19,735
2016;SET.;2,743,205;314,401;229,761;84,013;19,101
2016;OCT.;2,752,432;325,629;233,068;85,197;18,953
2016;NOV.;2,768,296;335,418;235,635;85,954;19,069
2016;DIC.;2,753,247;322,768;234,991;85,259;18,924
2017;ENE.;2,621,646;319,016;224,805;80,779;17,925
2017;FEB.;2,614,918;280,213;223,924;81,742;17,481
2017;MAR.;2,562,029;244,497;228,168;81,585;16,889
2017;ABR.;2,683,826;242,837;236,176;85,792;16,884
2017;MAY.;2,711,552;227,163;240,396;87,540;16,525
2017;JUN.;2,719,978;233,306;243,238;88,273;15,588
2017;JUL.;2,716,373;246,734;247,338;89,551;15,247
2017;AGO.;2,726,525;265,424;252,827;92,777;14,862
2017;SET.;2,740,838;317,613;257,028;93,620;14,684
2017;OCT.;2,754,106;330,264;259,960;94,829;14,919
2017;NOV.;2,729,872;333,368;260,244;94,464;101,486
2017;DIC.;2,731,668;336,074;260,866;94,609;83,100
2018;ENE.;2,636,732;354,268;251,945;90,145;67,750
2018;FEB.;2,636,378;298,414;254,753;90,769;57,334
2018;MAR.;2,714,061;283,870;266,885;95,573;52,153
2018;ABR.;2,750,528;271,054;271,686;96,845;48,346
2018;MAY.;2,767,413;273,631;275,828;98,625;44,915
2018;JUN.;2,737,069;270,155;272,300;96,987;42,572
2018;JUL.;2,773,250;313,942;283,049;101,071;39,595
2018;AGO.;2,768,912;358,644;286,633;103,208;38,003
2018;SET.;2,774,334;386,584;289,421;103,137;35,962
2018;OCT.;2,773,380;384,305;293,562;102,587;35,166
2018;NOV.;2,831,751;408,724;302,280;105,956;34,634
2018;DIC.;2,775,875;396,716;289,276;102,938;32,318
2019;ENE.;2,718,200;416,567;290,086;102,382;31,255
2019;FEB.;2,706,910;342,946;291,159;102,311;29,696
2019;MAR.;2,732,207;286,008;305,084;108,591;28,281
2019;ABR.;2,789,569;273,163;310,980;109,941;27,855
2019;MAY.;2,825,996;280,522;315,598;110,871;32,424
2019;JUN.;2,818,855;289,410;316,880;111,863;61,844
2019;JUL.;2,846,425;328,456;327,960;115,334;27,240
2019;AGO.;2,812,540;357,507;326,014;115,091;76,666
2019;SET.;2,729,967;350,798;313,351;110,176;249,208
2019;OCT.;2,848,128;418,140;337,564;118,947;71,535
2019;NOV.;2,760,930;382,646;324,338;113,518;253,296
2019;DIC.;2,876,920;440,737;347,530;121,771;28,734
2020;ENE.;2,777,310;454,150;335,478;117,021;29,478
2020;FEB.;2,669,486;338,648;319,716;111,450;179,653
2020;MAR.;2,754,275;308,112;339,854;121,023;22,816
2020;ABR.;2,407,329;263,703;278,858;97,005;20,742
2020;MAY.;2,173,095;282,839;250,453;85,251;19,244
2020;JUN.;2,211,279;320,769;268,643;91,268;19,246
2020;JUL.;2,335,477;371,344;293,908;99,507;19,503
2020;AGO.;2,372,218;431,008;308,174;104,840;19,722
2020;SET.;2,415,598;473,526;315,966;107,756;21,238
2020;OCT.;2,486,183;513,689;332,931;113,817;19,798
2020;NOV.;2,543,652;506,355;342,573;117,919;19,665
